+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+---------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN   |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/fujitataichi0/icon                 | 0.056  | 0.056  | 0.056   | 0.056  | 0.056  | 0.056  | 0.056  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/tanakamai0/icon                    | 0.080  | 0.080  | 0.080   | 0.080  | 0.080  | 0.080  | 0.080  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/tsubasa300/icon                    | 0.020  | 0.020  | 0.020   | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/akirasuzuki1/icon                  | 0.076  | 0.076  | 0.076   | 0.076  | 0.076  | 0.076  | 0.076  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kumiko030/icon                     | 0.180  | 0.180  | 0.180   | 0.180  | 0.180  | 0.180  | 0.180  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7532/moderate                | 2.836  | 2.836  | 2.836   | 2.836  | 2.836  | 2.836  | 2.836  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/gtanaka0/icon                      | 0.092  | 0.092  | 0.092   | 0.092  | 0.092  | 0.092  | 0.092  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/wishikawa0/icon                    | 0.056  | 0.056  | 0.056   | 0.056  | 0.056  | 0.056  | 0.056  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/hasegawanaoto0/icon                | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7540/enter                   | 0.044  | 0.044  | 0.044   | 0.044  | 0.044  | 0.044  | 0.044  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7580/report                  | 0.208  | 0.208  | 0.208   | 0.208  | 0.208  | 0.208  | 0.208  | 0.000  | 3.000     | 3.000      | 3.000        | 3.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7580/ngwords                 | 0.064  | 0.064  | 0.064   | 0.064  | 0.064  | 0.064  | 0.064  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7532/ngwords                 | 0.016  | 0.016  | 0.016   | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7561/moderate                | 2.588  | 2.588  | 2.588   | 2.588  | 2.588  | 2.588  | 2.588  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/suzukiyasuhiro0/icon               | 0.048  | 0.048  | 0.048   | 0.048  | 0.048  | 0.048  | 0.048  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
